time,subject,fuzzer,run,cov_type,cov
1761460548,lightftp,aflnet,1,b_per,41.2
1761460548,lightftp,aflnet,1,b_abs,322
1761460612,lightftp,aflnet,1,l_per,61.6
1761460612,lightftp,aflnet,1,l_abs,695
1761460612,lightftp,aflnet,1,b_per,41.3
1761460612,lightftp,aflnet,1,b_abs,323
1761460671,lightftp,aflnet,1,l_per,61.7
1761460671,lightftp,aflnet,1,l_abs,696
1761460671,lightftp,aflnet,1,b_per,41.4
1761460671,lightftp,aflnet,1,b_abs,324
1761460724,lightftp,aflnet,1,l_per,61.7
1761460724,lightftp,aflnet,1,l_abs,696
1761460724,lightftp,aflnet,1,b_per,41.4
1761460724,lightftp,aflnet,1,b_abs,324
1761460877,lightftp,aflnet,1,l_per,61.7
1761460877,lightftp,aflnet,1,l_abs,696
1761460877,lightftp,aflnet,1,b_per,41.4
1761460877,lightftp,aflnet,1,b_abs,324
1761460996,lightftp,aflnet,1,l_per,61.8
1761460996,lightftp,aflnet,1,l_abs,697
1761460996,lightftp,aflnet,1,b_per,41.6
1761460996,lightftp,aflnet,1,b_abs,325
1761461161,lightftp,aflnet,1,l_per,62.1
1761461161,lightftp,aflnet,1,l_abs,701
1761461161,lightftp,aflnet,1,b_per,41.8
1761461161,lightftp,aflnet,1,b_abs,327
1761461161,lightftp,aflnet,1,l_per,62.1
1761461161,lightftp,aflnet,1,l_abs,701
1761461161,lightftp,aflnet,1,b_per,41.8
1761461161,lightftp,aflnet,1,b_abs,327
1761457619,lightftp,aflnet,2,l_per,37.1
1761457619,lightftp,aflnet,2,l_abs,418
1761457619,lightftp,aflnet,2,b_per,20.8
1761457619,lightftp,aflnet,2,b_abs,163
1761457620,lightftp,aflnet,2,l_per,38.9
1761457620,lightftp,aflnet,2,l_abs,439
1761457620,lightftp,aflnet,2,b_per,23.1
1761457620,lightftp,aflnet,2,b_abs,181
1761457626,lightftp,aflnet,2,l_per,39.5
1761457626,lightftp,aflnet,2,l_abs,445
1761457626,lightftp,aflnet,2,b_per,24.4
1761457626,lightftp,aflnet,2,b_abs,191
1761457640,lightftp,aflnet,2,l_per,39.8
1761457640,lightftp,aflnet,2,l_abs,449
1761457640,lightftp,aflnet,2,b_per,24.8
1761457640,lightftp,aflnet,2,b_abs,194
1761457673,lightftp,aflnet,2,l_per,40.3
1761457673,lightftp,aflnet,2,l_abs,455
1761457673,lightftp,aflnet,2,b_per,25.2
1761457673,lightftp,aflnet,2,b_abs,197
1761457725,lightftp,aflnet,2,l_per,40.6
1761457725,lightftp,aflnet,2,l_abs,458
1761457725,lightftp,aflnet,2,b_per,25.4
1761457725,lightftp,aflnet,2,b_abs,199
1761457764,lightftp,aflnet,2,l_per,41.5
1761457764,lightftp,aflnet,2,l_abs,468
1761457764,lightftp,aflnet,2,b_per,25.8
1761457764,lightftp,aflnet,2,b_abs,202
1761457802,lightftp,aflnet,2,l_per,42.1
1761457802,lightftp,aflnet,2,l_abs,475
1761457802,lightftp,aflnet,2,b_per,26.2
1761457802,lightftp,aflnet,2,b_abs,205
1761457901,lightftp,aflnet,2,l_per,42.4
1761457901,lightftp,aflnet,2,l_abs,478
1761457901,lightftp,aflnet,2,b_per,26.3
1761457901,lightftp,aflnet,2,b_abs,206
1761457925,lightftp,aflnet,2,l_per,42.6
1761457925,lightftp,aflnet,2,l_abs,481
1761457925,lightftp,aflnet,2,b_per,26.5
1761457925,lightftp,aflnet,2,b_abs,207
1761457968,lightftp,aflnet,2,l_per,42.9
1761457968,lightftp,aflnet,2,l_abs,484
1761457968,lightftp,aflnet,2,b_per,26.6
1761457968,lightftp,aflnet,2,b_abs,208
1761458062,lightftp,aflnet,2,l_per,43.8
1761458062,lightftp,aflnet,2,l_abs,494
1761458062,lightftp,aflnet,2,b_per,27.0
1761458062,lightftp,aflnet,2,b_abs,211
1761458089,lightftp,aflnet,2,l_per,43.8
1761458089,lightftp,aflnet,2,l_abs,494
1761458089,lightftp,aflnet,2,b_per,27.0
1761458089,lightftp,aflnet,2,b_abs,211
1761458132,lightftp,aflnet,2,l_per,43.9
1761458132,lightftp,aflnet,2,l_abs,495
1761458132,lightftp,aflnet,2,b_per,27.4
1761458132,lightftp,aflnet,2,b_abs,214
1761458226,lightftp,aflnet,2,l_per,44.2
1761458226,lightftp,aflnet,2,l_abs,499
1761458226,lightftp,aflnet,2,b_per,27.5
1761458226,lightftp,aflnet,2,b_abs,215
1761458305,lightftp,aflnet,2,l_per,44.2
1761458305,lightftp,aflnet,2,l_abs,499
1761458305,lightftp,aflnet,2,b_per,27.5
1761458305,lightftp,aflnet,2,b_abs,215
1761458351,lightftp,aflnet,2,l_per,44.9
1761458351,lightftp,aflnet,2,l_abs,507
1761458351,lightftp,aflnet,2,b_per,27.7
1761458351,lightftp,aflnet,2,b_abs,217
1761458507,lightftp,aflnet,2,l_per,45.1
1761458507,lightftp,aflnet,2,l_abs,509
1761458507,lightftp,aflnet,2,b_per,27.7
1761458507,lightftp,aflnet,2,b_abs,217
1761458536,lightftp,aflnet,2,l_per,48.0
1761458536,lightftp,aflnet,2,l_abs,542
1761458536,lightftp,aflnet,2,b_per,29.9
1761458536,lightftp,aflnet,2,b_abs,234
1761458640,lightftp,aflnet,2,l_per,48.4
1761458640,lightftp,aflnet,2,l_abs,546
1761458640,lightftp,aflnet,2,b_per,30.4
1761458640,lightftp,aflnet,2,b_abs,238
1761458681,lightftp,aflnet,2,l_per,48.7
1761458681,lightftp,aflnet,2,l_abs,549
1761458681,lightftp,aflnet,2,b_per,30.8
1761458681,lightftp,aflnet,2,b_abs,241
1761458709,lightftp,aflnet,2,l_per,48.8
1761458709,lightftp,aflnet,2,l_abs,550
1761458709,lightftp,aflnet,2,b_per,31.1
1761458709,lightftp,aflnet,2,b_abs,243
1761458753,lightftp,aflnet,2,l_per,49.2
1761458753,lightftp,aflnet,2,l_abs,555
1761458753,lightftp,aflnet,2,b_per,31.5
1761458753,lightftp,aflnet,2,b_abs,246
1761458769,lightftp,aflnet,2,l_per,51.8
1761458769,lightftp,aflnet,2,l_abs,584
1761458769,lightftp,aflnet,2,b_per,32.9
1761458769,lightftp,aflnet,2,b_abs,257
1761458790,lightftp,aflnet,2,l_per,52.5
1761458790,lightftp,aflnet,2,l_abs,592
1761458790,lightftp,aflnet,2,b_per,33.1
1761458790,lightftp,aflnet,2,b_abs,259
